Party,Parent Category,Category,Gas,Unit,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,1. Energy,1.A.5 Other (Not specified elsewhere),CH₄,kt,0.026184,0.026184,0.0230803,0.025817,0.0249576,0.0288566,0.0362623,0.0428247,0.0434902,0.0360669,0.0296724,0.0279358,0.0234082,0.0229104,0.0214675,0.0216951,0.0217994,0.022263,0.0351053,0.0327571,0.0277195,0.0299208,0.0314394,0.0312523,0.0275315,0.0335366,0.0271429,0.0361696,0.0308958,0.0297026,0.0311683
Australia,1. Energy,1.A.5 Other (Not specified elsewhere),CO₂,kt,418.996,418.996,442.339,493.234,499.713,558.572,689.952,774.478,813.488,702.262,626.76,629.105,633.153,585.436,555.637,577.641,617.698,649.055,819.943,839.563,826.777,881.176,890.392,864.174,903.516,1017.06,937.318,1114,919.13,820.405,785.144
Australia,1. Energy,1.A.5 Other (Not specified elsewhere),N₂O,kt,0.0111964,0.0111964,0.0118958,0.0133531,0.0135235,0.0151959,0.018955,0.0212633,0.0224083,0.0192491,0.0171157,0.0172101,0.0173832,0.0160338,0.0152047,0.0158596,0.0170524,0.0179969,0.0229305,0.0235434,0.0231936,0.0247452,0.025277,0.0244241,0.0255594,0.0285603,0.0260634,0.0316313,0.0260394,0.0234777,0.0218958
Australia,1. Energy,1.AA Fuel Combustion - Sectoral approach,Aggregate GHGs,kt CO₂ equivalent,256889,256889,259240,263626,268027,271089,281964,288899,297205,310222,318422,324181,331745,336141,343177,356177,361105,366147,371455,376790,381862,377033,375302,380008,372781,368606,374134,382179,382774,381094,379358
Australia,1. Energy,1.AA Fuel Combustion - Sectoral approach,CH₄,kt,131.649,131.649,134.017,137.425,138.722,136.229,133.833,131.165,128.542,122.708,115.704,110.367,107.728,96.5919,94.0052,92.3013,87.3295,85.4182,82.6878,81.3572,85.783,84.465,76.2329,79.4902,77.8714,81.9806,83.8772,90.7909,88.1761,90.1973,86.2431
Australia,1. Energy,1.AA Fuel Combustion - Sectoral approach,CO₂,kt,251676,251676,253931,258171,262401,265436,276243,283144,291385,304377,312638,318419,325916,330364,337196,350127,355151,360279,365630,370992,376057,371339,369725,374388,367225,363082,368803,376727,377397,375867,374299
Australia,1. Energy,1.AA Fuel Combustion - Sectoral approach,N₂O,kt,6.44722,6.44722,6.57347,6.77655,7.24244,7.54112,7.96885,8.30935,8.74689,9.3204,9.70501,10.0783,10.5243,11.2809,12.1841,12.5567,12.6532,12.5236,12.6106,12.6331,12.2848,12.0214,12.319,12.1893,12.1103,11.6594,10.852,10.6791,10.6452,9.97201,9.74318
Australia,1. Energy,1.AB Fuel Combustion - Reference Approach,Aggregate GHGs,kt CO₂ equivalent,254499,254499,257643,258657,265862,268892,277144,287305,291479,305977,313551,319265,324050,330568,336594,349431,356356,355464,364972,370193,380304,374165,372916,380721,369833,360969,368241,373134,375023,371016,379440
Australia,1. Energy,1.AB Fuel Combustion - Reference Approach,CO₂,kt,254499,254499,257643,258657,265862,268892,277144,287305,291479,305977,313551,319265,324050,330568,336594,349431,356356,355464,364972,370193,380304,374165,372916,380721,369833,360969,368241,373134,375023,371016,379440
Australia,1. Energy,"1.AD Feedstocks, Reductants and Other Non-energy Use of Fuels",Aggregate GHGs,kt CO₂ equivalent,12228.1,12228.1,11899.8,12544.2,12346.2,13363.7,13875.1,13883.1,13870.2,13828.2,14251.2,13586.6,12325.1,12128.8,12853.3,13856.4,13696.2,14558.1,15521.3,14893.5,13867.7,16368.5,16628.6,16500.5,12422.5,12613.7,12769.2,13505.8,13934.4,14411,14027.1
